Verbatim,country,Disease,Test,Diagnosed,Treatment,Emotional words,Anger ,Rage ,Mad ,Irritated,Disgust,Nausea ,Sickened ,Revulsion ,Fear ,Terror ,Scared ,Panic ,Anxiety ,Dread ,Nervous ,Worry ,Sad ,Grief ,Lonely ,Empty ,Desire ,Wanting ,Craving ,Longing ,Relaxation ,Easygoing ,Chilled out ,Calm ,Happy ,Satisfaction ,Enjoyment ,Liking ,Sentiment,Optimism_effect,Negativity_bias,Projection_bias,Pessimism_bias,Survivorship_bias,Hindsight_bias,Framing_effect,Distinction_bias,Decoy_effect,Imaginability_bias,Gamblers_fallacy,Time_discounting,Status_quo_bias,Omission_bias,Regret_avoidance,Sunk_cost_fallacy,Base_rate_fallacy,Fundamental_attribution_error,Confirmation_bias,Authority_bias,False_consensus_effect,Dunning_Kruger_effect,Hueristic,Attitude,Norm,Control,Intention,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness,Intention_Type,intent,intent valence,Verbatim Index,belief,start,end,belief type,belief cluster
"CQ10 is for my heart, it is a vitamin. It's a vitamin. Prednisone is for my breathing in case I need it, but I try not to take it because I've gained like 20 pounds from taking prednisone. I do not like it. Albuterol is this right here.",us,copdcvd,No,No,No,[not] like,0.751072861,0.349018505,0.73520099,0.641748438,0.252071173,0.83734518,0.748711129,0.682062903,0.078975845,0.247051878,0.542443998,0.844526788,0.070491618,0.496886981,0.690013633,0.926768921,0.758057762,0.309217247,0.579659948,0.199748346,0.848479856,0.612918424,0.739343182,0.92576388,0.314690028,0.110190958,0.25896726,0.356729685,0.688790796,0.245741554,0.130857641,0.414010615,0.064588646,0.776259065,0.7140975,0.327703029,0.60035044,0.71531409,0.756750822,0.634254098,0.416480482,0.439253777,0.473089218,0.651427329,0.481551647,0.705639064,0.566015542,0.665499449,0.69074136,0.473089218,0.43233031,0.147190109,0.511064231,0.137059987,0.516926408,Representativeness,0.054601554,0.268898755,0.24381119,0.907792926,0.999998689,8.18E-07,0.000179091,0.000226083,1,to Treat,intent2,0.724913201,67,your blood pressure,54,73,attitude,attitude1
"It's for my breathing. It's for my breathing. It's medicine that I put for my breathing. Simvastatin, I'm not sure if that's for my cholesterol or for my blood pressure, but it's one of those. Melatonin is for my sleeping problems. Symbicort is-",us,copdcvd,No,No,No,problems,0.763374534,0.788429675,0.155075436,0.854209343,0.715700175,0.589230088,0.31430894,0.975628627,0.761017181,0.513487841,0.596092574,0.245939244,0.977840581,0.755959336,0.094467525,0.712189102,0.722741251,0.175014291,0.126666741,0.662247754,0.704733461,0.384134495,0.20453566,0.803018245,0.73552746,0.973969233,0.90033524,0.838002188,0.131221855,0.522563496,0.095970624,0.135099744,0.554796408,0.74036479,0.740155637,0.340756983,0.542194247,0.694698572,0.693755031,0.633362412,0.398783624,0.41423744,0.474109679,0.641464233,0.463280469,0.691880405,0.447712749,0.660821557,0.630691826,0.474109679,0.345211208,0.172790036,0.572211206,0.131980777,0.547734737,Representativeness,0.176366657,0.310499161,0.160230175,0.654529929,0.999994397,2.43E-08,0.005308681,5.67E-05,1,to Prescribe,intent2,0.724913201,67,pressure? They mentioned your blood pressure,29,73,control,control2
"Well, he also put me on some heart medicine to where I couldn't have a heart attack because it's like, I haven't been able to exercise as much since I've gotten COPD.",us,copdcvd,No,No,No,,0.955658775,0.777760108,0.03258724,0.652759473,0.695817785,0.39730648,0.239961085,0.19168926,0.939461015,0.98714919,0.914126568,0.360531621,0.297892821,0.995370713,0.874901529,0.654876989,0.87634772,0.217821025,0.570682663,0.51412659,0.599156934,0.232432903,0.215550691,0.102954493,0.147562943,0.479529287,0.492684277,0.872431249,0.540327078,0.516087804,0.930559748,0.295012456,0.262821243,0.733109117,0.660749376,0.307347625,0.613243878,0.642337978,0.662375093,0.53089124,0.396224558,0.362687916,0.427169859,0.575566947,0.452004194,0.695450425,0.520562947,0.579077959,0.607442558,0.427169859,0.394881189,0.162357926,0.479581326,0.147214949,0.469417453,Representativeness,-0.113987885,0.567296743,0.558064222,0.996425211,0.999991059,0.00029003,0.55309546,0.004927685,0.001750462,to Prescribe,intent2,0.724913201,67,blood pressure? They mentioned your blood pressure was,23,77,attitude,attitude2
"Well, I can't remember which one is the... I have a high blood pressure pill and also a depressive pill I'm still on. And I think that's the E S C I T A L O P R M pill for the depressive. That shows how much I don't never take medicine, so.",us,copdcvd,No,No,No,,0.293411275,0.137922868,0.036936425,0.928239996,0.379098614,0.674599144,0.228093303,0.840866277,0.26553031,0.15749863,0.110762324,0.31953573,0.277967141,0.72171042,0.253063175,0.52857465,0.924143156,0.251690087,0.353295329,0.637453134,0.756749205,0.758676822,0.489471643,0.537786947,0.655744501,0.571504411,0.407888775,0.086942754,0.196673064,0.86116275,0.406176653,0.531849777,0.711263811,0.787501574,0.767448664,0.360478759,0.532320857,0.7334373,0.725841284,0.642884135,0.389970452,0.430050761,0.5205369,0.680748761,0.471196204,0.680842578,0.48412475,0.670981884,0.678773284,0.5205369,0.356306881,0.115136504,0.571509004,0.051430132,0.55470109,Representativeness,0.390718341,0.14680627,0.699125707,-0.814408004,0.999966741,1.91E-10,0.000895663,1,6.02E-05,to Prescribe,intent1,0.943774715,68,say congestive,46,60,attitude,attitude1
"The only thing that's been added that's new from my cardiologist is this heart attack pills to keep me from hopefully getting a heart attack because I can't exercise like I used to, I have COPD. That's the only thing new that they've given me.",us,copdcvd,No,No,No,"heart, hopefully, heart",0.326134664,0.361625059,0.193106576,0.580987232,0.930727862,0.746281897,0.689573588,0.626832077,0.243422313,0.843477838,0.707693177,0.655426409,0.520831391,0.728668303,0.815648763,0.511411259,0.832928563,0.435035216,0.169055856,0.74095044,0.047472101,0.876694718,0.15075695,0.920873506,0.054641861,0.686607575,0.904889175,0.190868227,0.656910184,0.789402087,0.960386974,0.76651743,0.141721516,0.707116902,0.654813826,0.300929457,0.614657462,0.619486392,0.652504861,0.534203649,0.399748623,0.363894612,0.39979291,0.562734008,0.445785254,0.688633084,0.502879679,0.572303653,0.586524546,0.39979291,0.395106375,0.188353643,0.490182847,0.19185175,0.474210203,Representativeness,0.110824093,0.339041978,-0.159879252,0.878725827,0.999540269,3.45E-06,1.90E-08,0.965025425,9.71E-06,to Prescribe,intent1,0.943774715,68,"you know now about it? When you say congestive heart failure, what",14,80,norm,norm1
"I guess, because of almost dying and having congestive heart failure and... I don't know.",us,copdcvd,No,No,No,"dying, [not] know",0.98483406,0.138892275,0.025424555,0.681521372,0.929540318,0.903264867,0.528090571,0.370300234,0.971982352,0.424882047,0.916973813,0.176860943,0.952497744,0.995248268,0.455747548,0.20156152,0.671349729,0.407059522,0.064591653,0.899241014,0.346713333,0.963900885,0.977826348,0.739821265,0.640526662,0.92950637,0.460326609,0.623953567,0.820179488,0.656685266,0.631188837,0.207836346,0.014210918,0.78167516,0.651373684,0.323183864,0.720275462,0.642796397,0.711974263,0.5119344,0.431442201,0.378675103,0.440006912,0.607828081,0.484725624,0.772380352,0.583827019,0.596066654,0.654076278,0.440006912,0.457265347,0.181989446,0.46155256,0.154742435,0.460936815,Representativeness,0.274485916,0.38044557,0.658201098,0.116320834,0.998296082,4.89E-07,0.999569118,0.897010207,0.965817869,to Prescribe,intent1,0.943774715,68,Okay. What do you know,0,22,control,control1
"They're worried about, because I was breathing weird. So that's when they went ahead and set me up an appointment, referred me.",us,copdcvd,No,No,No,"worried, weird",0.061146365,0.899926832,0.304664878,0.315666528,0.555753047,0.789178131,0.932471653,0.547701894,0.775810123,0.696896767,0.088977454,0.966737603,0.495931301,0.165885035,0.338052833,0.197156883,0.287428317,0.362365599,0.079446798,0.577454004,0.353845876,0.779443055,0.607238534,0.682413341,0.197480273,0.202495186,0.432865633,0.441616262,0.487319652,0.628787077,0.941321319,0.166465994,0.426465943,0.773657322,0.747576952,0.36267224,0.555160105,0.691025257,0.666009128,0.577188373,0.367711991,0.391245186,0.498897105,0.660617173,0.447214842,0.676521063,0.448047727,0.615438938,0.640947104,0.498897105,0.326637119,0.107514583,0.561790645,0.027338127,0.520707309,Representativeness,0.265217543,0.236291662,0.49862203,-0.056087811,0.000236387,1.04E-05,0.001967891,1.53E-09,0.968829036,to Treat,intent1,0.943774715,68,now about it? When you say congestive heart,23,66,norm,norm2
"Yeah. They noticed it, right. One of the nurses noticed it that does my, like I say, the baby treatment. Does my heart, take pictures of my heart like they do for an ultrasound, she does that for my heart and my legs.",us,copdcvd,No,No,Yes,,0.780116979,0.603066813,0.060764867,0.909133451,0.231702385,0.949551654,0.183623014,0.6920963,0.7728578,0.273051417,0.537709028,0.12021286,0.407610217,0.779759632,0.963240512,0.537411725,0.706743082,0.896182719,0.911907144,0.985811084,0.976965726,0.922381037,0.391710848,0.366837496,0.840513672,0.603469478,0.696787265,0.982215143,0.996647271,0.653895415,0.510444871,0.915191134,0.609264701,0.760406733,0.671734869,0.310275674,0.658323884,0.696852267,0.761510491,0.567856729,0.413118273,0.445205271,0.434556812,0.58467567,0.485335231,0.723693371,0.624325454,0.622577131,0.680708885,0.434556812,0.482292265,0.159830108,0.440343231,0.169141829,0.463069677,Representativeness,0.17583698,0.172639832,0.263951659,0.457413912,0.999998808,8.99E-08,0.999689043,1,0.99758625,to Prescribe,intent5,0.83354977,69,it sounds like the COPD has a bit more of an impact on your daily life,37,107,norm,norm0
"No, because some of the time I'm also doing the EECP.",us,copdcvd,No,No,No,,0.616284252,0.973321434,0.203638808,0.939885259,0.973826032,0.951016256,0.917987773,0.869086794,0.960724805,0.005425632,0.256064533,0.72963152,0.197754929,0.710648574,0.977070142,0.508143287,0.643961557,0.554351833,0.009142475,0.272692546,0.480581955,0.026958428,0.762983366,0.323518852,0.961249947,0.131085499,0.971970071,0.457788651,0.10675306,0.935283209,0.728805206,0.578402608,0.746787202,0.661005795,0.599394023,0.306855857,0.673960567,0.564143538,0.604264975,0.48135978,0.407615423,0.358834296,0.363928735,0.518829644,0.451103896,0.744570494,0.460030258,0.550047994,0.52184391,0.363928735,0.34991467,0.278102577,0.507985115,0.246705279,0.459436625,Social proof,-0.043598503,0.618358314,-0.096484408,0.994529068,0.768445373,1.83E-05,0.99735719,0.999706686,0.999735057,to Treat,intent5,0.83354977,69,"of course. Okay, so it sounds like the COPD has a bit more of an impact on",17,91,norm,norm0
"I think they're allowed to do that like maybe a year. I don't really know, but all I know is they check my blood pressure and all this other stuff, make sure everything's working, my medicines.",us,copdcvd,No,No,No,[not] know,0.445518784,0.67767856,0.636905323,0.884718175,0.070388679,0.097121259,0.565497131,0.487849878,0.88891268,0.03625538,0.454149676,0.486183047,0.319741037,0.016712896,0.876419031,0.368908114,0.612950617,0.748174183,0.089456273,0.587459282,0.106557546,0.69848923,0.017250846,0.890425617,0.296228996,0.183784734,0.619503908,0.47264522,0.480016951,0.826276772,0.450984123,0.585266763,0.749500534,0.782205701,0.748293877,0.349698007,0.55857259,0.727192342,0.734540284,0.626834035,0.391988814,0.431623936,0.503237665,0.66947633,0.475185782,0.688601434,0.518080652,0.664760053,0.690385401,0.503237665,0.385574967,0.110690832,0.546439409,0.069186173,0.52744925,Representativeness,0.190812796,0.292672783,0.395537555,0.528982818,0.112368397,0.000315046,0.850849926,0.990317762,0.002409015,to Prescribe,intent2,0.244298666,70,mentioned some of the meds you were,76,111,attitude,attitude0
I asked them what my ejection fraction is.,us,copdcvd,No,No,No,,0.112334836,0.903960016,0.981610689,0.241616555,0.893612084,0.659624485,0.219789771,0.881392263,0.096113409,0.971231976,0.332989218,0.292343359,0.58456253,0.846011578,0.893964648,0.118399774,0.301088062,0.519185343,0.875433063,0.233765758,0.189501036,0.274300051,0.999581433,0.54655104,0.030294284,0.160298175,0.4872704,0.98848606,0.33098171,0.968137306,0.785485119,0.308089495,0.085297125,0.740114093,0.576087713,0.293755949,0.754883707,0.556065023,0.674600899,0.440650672,0.434692293,0.345082611,0.34654358,0.526340604,0.466417134,0.761753142,0.594336092,0.527780414,0.601806939,0.34654358,0.470073402,0.217405349,0.414359182,0.247818679,0.398486495,Representativeness,0.088393442,0.426737964,0.200324401,0.921537697,0.999999642,8.62E-08,0.99998951,0.00176082,1,to Treat,intent2,0.244298666,70,much for doing,16,30,attitude,attitude2
So 40%. And that's how he come he told me I'm like a mild case.,us,copdcvd,No,No,No,mild,0.947305872,0.007100565,0.642055785,0.901677052,0.903894136,0.524359419,0.297021975,0.002528616,0.003263793,0.747629949,0.668413925,0.533655199,0.996057027,0.430034833,0.364793767,0.565680988,0.973021,0.811452948,0.097847757,0.933691463,0.298308841,0.910964999,0.805147309,0.804472137,0.49386523,0.174529516,0.916485065,0.530386138,0.745389894,0.914481686,0.504484326,0.498934702,0.56430378,0.78373158,0.742914915,0.355788201,0.557377636,0.706404507,0.70036155,0.610812664,0.388109803,0.394845158,0.517158926,0.666434884,0.466173947,0.70483613,0.456243128,0.662772894,0.655510247,0.517158926,0.338666677,0.13466613,0.554680526,0.044916213,0.544062316,Representativeness,0.139168099,0.129872277,0.225419804,0.586705327,0.999994636,0.000103404,0.426186115,2.22E-05,6.28E-05,to Treat,intent2,0.244298666,70,", so I can see those here",114,139,norm,norm1
"He just says I don't have to do the water pills, that's just what he said to me. I don't know how come he thinks I'm a mild case.",us,copdcvd,No,No,No,"[not] know, mild",0.470232796,0.624752695,0.245701782,0.258770489,0.384187158,0.587245423,0.038350902,0.907597317,0.059264538,0.537609112,0.943529257,0.135459405,0.718825608,0.286138208,0.288908995,0.594921943,0.477145229,0.997687628,0.368480914,0.681277619,0.165313227,0.412570862,0.351241367,0.330344564,0.532471737,0.451308698,0.678291033,0.149373256,0.477541152,0.692643821,0.547567068,0.413804654,0.728681543,0.737831116,0.672657788,0.315211535,0.631296933,0.636788428,0.659296989,0.549997151,0.415678799,0.353301585,0.434425175,0.591497183,0.464305818,0.731472135,0.498050034,0.605635166,0.602485657,0.434425175,0.388670623,0.190125525,0.505577445,0.164017811,0.48710078,Representativeness,-0.016105538,0.033139482,0.26425302,0.911953568,4.95E-05,0.00016636,0.983973622,0.999993086,0.957886398,to Prescribe,intent5,0.793290398,71,mask.,27,32,norm,norm0
"It's fine. It doesn't really bother me. Not as much as the COPD does, the COPD bothers me a lot.",us,copdcvd,No,No,No,"fine, [not] bother, bothers",0.959242399,0.982198287,0.242020809,0.967460687,0.447554211,0.700007956,0.731767104,0.667147294,0.009918011,0.642895886,0.660487658,0.356058323,0.229891087,0.46698018,0.661223835,0.834485288,0.807651039,0.752963444,0.217878195,0.357754314,0.299259442,0.995032578,0.350263889,0.034251071,0.611303269,0.539452198,0.664018692,0.269566227,0.008140177,0.05785708,0.43077852,0.180410522,0.063821035,0.718538284,0.693886578,0.318008691,0.590839148,0.639581859,0.646415532,0.569003046,0.40412578,0.360336035,0.434412062,0.594501972,0.458782643,0.710888147,0.448510855,0.618201733,0.592081845,0.434412062,0.356857985,0.194513574,0.539830804,0.169403806,0.51102221,Representativeness,0.131362826,0.114704303,0.471166998,0.560057878,0.999994516,6.22E-08,0.214393228,0.000283392,0.999762237,to Prescribe,intent5,0.793290398,71,mask,27,31,control,control1
"Honestly, I don't know. I mean, I've had a good experience. I mean, I don't have water pills, a lot of people have to take those all the time and I'm glad I'll have to do those. I guess the only thing I did not like ever since was the-",us,copdcvd,No,No,No,"[not] know, good, glad, [not] like",0.700047821,0.194818946,0.596165174,0.662982149,0.797966264,0.858435778,0.175971301,0.263668863,0.824911632,0.343625579,0.367712813,0.933001297,0.645262921,0.630531895,0.177122762,0.229793603,0.365354883,0.524796257,0.028428522,0.805473602,0.340656181,0.962828441,0.823735692,0.091360826,0.21961085,0.819532677,0.788799449,0.996875437,0.781804953,0.411301073,0.466072167,0.230020033,0.227876166,0.72921133,0.698401928,0.320083648,0.571351469,0.661297441,0.662910342,0.5722664,0.389444143,0.378244162,0.446754545,0.604975224,0.45307523,0.707758665,0.466571003,0.621193349,0.610065699,0.446754545,0.350300312,0.151472718,0.516908765,0.110259064,0.486199617,Representativeness,0.420725286,0.181118384,0.563479483,-0.846586645,0.000128211,0.926441312,8.31E-09,3.13E-13,0.999804378,to Prescribe,intent2,0.858263314,72,"inhaler,",18,26,attitude,attitude1
When I thought I was having a heart attack?,us,copdcvd,No,No,No,heart,0.795934392,0.19717611,0.40173378,0.061337618,0.219019244,0.988211936,0.582240581,0.369931858,0.020863298,0.565969803,0.296722645,0.632178773,0.723852823,0.350365492,0.505953987,0.866574456,0.786788583,0.705195556,0.062531167,0.942034312,0.440441848,0.164588272,0.253819161,0.88421177,0.933943266,0.280908556,0.954469134,0.484283211,0.729604323,0.069547776,0.036524271,0.02008238,0.849807692,0.698237479,0.445167631,0.273654699,0.776124835,0.486799628,0.657671809,0.340309352,0.409654558,0.330309421,0.301498622,0.495105863,0.432145268,0.721628666,0.636960685,0.409422517,0.580192864,0.301498622,0.516536474,0.243540525,0.343300015,0.273696303,0.351482838,Loss aversion,0.098305404,0.388373524,0.518279791,0.879743338,0.998951793,8.49E-07,0.999999404,0.999919772,0.999680221,to Prescribe,intent2,0.858263314,72,?,32,33,attitude,attitude2
"Tell me, I was like, I was fine. All they did was take my blood and the reason they took the blood is to make sure to find out about if I was having a heart attack or anything.",us,copdcvd,No,No,No,fine,0.273142409,0.724432501,0.015388357,0.155610202,0.941458734,0.457843236,0.483210642,0.560621071,0.102048131,0.242451765,0.744985278,0.219507328,0.119489136,0.13721167,0.509353212,0.71317306,0.982969777,0.704536107,0.563505363,0.878915242,0.551306535,0.632210139,0.226679455,0.57826389,0.503125675,0.236023672,0.22937423,0.736525593,0.961108424,0.90378312,0.124058738,0.808975847,0.173502706,0.688886821,0.577753961,0.297154963,0.711161613,0.585845172,0.642848253,0.446978956,0.416871876,0.37541014,0.349566638,0.502408922,0.457369745,0.734077394,0.578396618,0.496416926,0.563942611,0.349566638,0.442628592,0.233963192,0.445716292,0.248067454,0.412664086,Social proof,0.370927781,0.560193241,0.572989523,-0.172902286,0.997890174,0.109371789,0.970646858,0.996813476,0.999998927,to Prescribe,intent0,0.949856683,73,okay. So which,6,20,attitude,attitude1
Yeah. All they did was do that every three hours and then take my blood pressure and that's pretty much it .there's nothing they could tell me because there was nothing wrong with me.,us,copdcvd,No,No,No,wrong,0.876503826,0.700241708,0.888232868,0.299553143,0.141934216,0.345532599,0.876605038,0.172095535,0.478880314,0.490640126,0.530374482,0.077924122,0.00588595,0.596968857,0.559451242,0.445466986,0.236834884,0.03990341,0.858607188,0.677288368,0.540679834,0.325788937,0.38177496,0.597610084,0.103843348,0.121314156,0.943221822,0.452710911,0.097543743,0.752263437,0.290510537,0.636041467,0.754771063,0.679427207,0.554858923,0.271775007,0.718383253,0.566999376,0.656718254,0.468662292,0.439311743,0.355862677,0.328317821,0.478254557,0.468687117,0.749113142,0.582876682,0.52859515,0.560603797,0.328317821,0.464377731,0.263179064,0.423496306,0.307628632,0.422200888,Social proof,-0.040499721,0.180810064,0.598332405,0.95656693,0.351876318,7.04E-05,0.913685501,0.999628544,0.538709283,to Prescribe,intent0,0.949856683,73,your cardiologist tell you to take,34,68,control,control2
"It's like a curse. It's exhausting. They refer to it as an elephant on your chest, but it's more than that you can't breathe. It's an elephant on your whole being, because your mind can do so much, but your breath doesn't give your body the ability to keep up, with what your mind is doing. And it's hard. Can't focus on that though.",us,copd,No,No,No,"curse, exhausting, can, hard",0.859242904,0.492331621,0.632533961,0.470563229,0.313332094,0.209323804,0.521596151,0.386541185,0.071859506,0.518622346,0.518828509,0.862472456,0.02220845,0.171351838,0.720338412,0.262936409,0.612133413,0.14441515,0.427574456,0.201643788,0.921573147,0.968849366,0.520982384,0.988267266,0.117057154,0.732717233,0.428091207,0.486230867,0.293412588,0.25392702,0.272596198,0.316820084,0.556626206,0.700455964,0.710467577,0.350589156,0.597905159,0.657919049,0.626836777,0.575323403,0.40127027,0.40190497,0.445571065,0.614118934,0.458261192,0.712239802,0.43945986,0.593121767,0.570996702,0.445571065,0.331192434,0.225262403,0.590976059,0.174438164,0.526191115,Representativeness,0.150785521,0.256956339,0.462945819,0.650614023,0.031606507,0.871376991,0.001617919,0.999999642,0.999245465,to Prescribe,intent0,0.949856683,73,"Okay, okay. So which of these did your cardiologist tell you",0,60,control,control2
"It's not pleasant to be out of breath so automatically you would avoid doing anything that makes you out of breath which of course, begets more being out of breath, but that's another story. But everything that you have to do, you stop. And it's like, ""I can't do that. Wait, can I do?"" And you have to think about the logistics. Even before, when I had to come upstairs to get my computer, I've learned to be calm about that. That would've thrown me into anxiety a couple of years ago. So you think about everything you do because you don't want to get stuck in a situation where it's red alert and you can't breathe and you can't handle it and you're stuck.",us,copd,No,No,No,"[not] pleasant, avoid, calm, anxiety, [not] want, stuck, alert, stuck",0.288101849,0.832781253,0.66684689,0.710705841,0.903055793,0.193002307,0.468812464,0.028585305,0.738444892,0.548624365,0.298408181,0.807319491,0.769682659,0.314886827,0.991810752,0.444775492,0.120886506,0.633403333,0.268317908,0.163830431,0.919415255,0.365744774,0.126532356,0.564215348,0.111432557,0.18958056,0.116789797,0.368971355,0.50365389,0.601405913,0.424451779,0.12471359,0.127218436,0.47849828,0.613762379,0.34236145,0.599317431,0.543656945,0.393381327,0.468574256,0.384798348,0.375466228,0.342835814,0.47542873,0.423178464,0.751385093,0.272753179,0.471006066,0.303719044,0.342835814,0.144892901,0.378041714,0.633592784,0.267883271,0.459467649,Social proof,0.232431769,0.114698179,0.391936183,-0.038381543,0.02017764,2.45E-05,0.604598582,0.990769327,0.99998498,to Treat,intent0,0.295056662,74,like that,54,63,control,control2
"Terrifying when you can't get air. I just remember one time that was particularly bad. I couldn't get the air. It wasn't coming in. My chest tightens, just thinking about it. And I thought to myself, I'm going to let myself pass out because I can't take this. And I remember writing on a piece of paper because I couldn't even speak ""Call 911,"" and giving it to my husband because nobody knew what was going on. And that's one of many times, that's the worst.",us,copd,No,No,No,"terrifying, bad, worst",0.76251628,0.871870403,0.445164085,0.178436599,0.848986843,0.11299783,0.644604071,0.494001348,0.839933022,0.37846311,0.653087655,0.140472458,0.260334428,0.893540568,0.236520889,0.189473722,0.797072109,0.935832161,0.55134957,0.412109299,0.094730087,0.942793737,0.433287027,0.98235527,0.767529244,0.422537699,0.636073881,0.585890663,0.708785761,0.339441546,0.287636653,0.720747455,0.466623904,0.71582067,0.697561502,0.311942458,0.562489331,0.663976014,0.672121763,0.583381295,0.392734706,0.391708702,0.43214795,0.593759835,0.449713409,0.681549966,0.486629605,0.610270202,0.607735395,0.43214795,0.374822259,0.166175947,0.514526248,0.156147659,0.504376411,Representativeness,0.344249636,0.491947919,0.353152126,-0.066344172,0.99976927,0.060839664,0.065965131,0.999999762,0.999999642,to Prescribe,intent0,0.295056662,74,you didn't like,43,58,attitude,attitude0
"I was only brought to the hospital twice. I've been in the hospital, I don't know, maybe a dozen times or more. I can't even count. I can't even tell you. Only twice I went by ambulance. One time I drove myself. Other times I think I even let one of my daughters drive me once. My husband drove me and you get better at it. You know the deal. And by going to the same hospital, they have my records and they know what works with me and they can immediately give me things that normally they'd have to mess around with, ""Oh, we gave this to her the last time,"" which is good and bad. It doesn't show any attention to maybe it's a different situation presenting itself. I don't know. But at least you get quicker treatment that way. And when you stay in the hospital all those times, they pump you up with medication that makes you crazy, steroids to the point of...",us,copd,No,No,Yes,"[not] know, better, mess, good, [not] know, crazy",0.616662818,0.505162398,0.171430562,0.185266299,0.067652229,0.737718666,0.437041279,0.774511591,0.289650932,0.467263238,0.160816446,0.388186458,0.992233669,0.341093585,0.360067221,0.971298446,0.151219846,0.07424711,0.771314379,0.902293848,0.839570174,0.338598348,0.857802561,0.969818567,0.175178235,0.419670762,0.124948236,0.420655012,0.425504876,0.595329074,0.443097547,0.186346582,0.557739832,0.69528383,0.63849175,0.30207479,0.671939433,0.649895549,0.693140507,0.555778146,0.438197464,0.419318259,0.38039583,0.540075481,0.483176261,0.754365385,0.576555669,0.590960741,0.595958352,0.38039583,0.435450494,0.243240938,0.479387999,0.259470969,0.458184689,Social proof,0.265823901,0.708858371,0.520084381,0.688589275,0.999986053,0.000166364,0.66365546,0.00025918,1,to Prescribe,intent4,0.884357648,75,,,,attitude,attitude0
"It's the best drug because then you can breathe but the worst drug because you can't sleep. You just feel nasty and cranky and you want to kill somebody and you reach a point that... I've reached a point several times where I said, ""I don't want that drug anymore. You gave me enough of this already. Can't we slow down on that?"" ""We're writing it in your charts that you're refusing the drug."" Because every time you're in the hospital too, they want to stick you in the stomach with that drug to prevent blood clots. But I wasn't in bed. I was pacing all night with my steroids. So, but I finally said ""I don't want that."" And being in the hospital is... That's weird. It's good and it's bad. You disappeared.",us,copd,No,No,Yes,"best, worst, feel, cranky, kill, [not] want, slow, [not] want, weird, good, bad",0.765355437,0.92772552,0.295436521,0.378643688,0.105988983,0.743523068,0.062551798,0.161848531,0.718371554,0.62584181,0.700357035,0.666492925,0.646111791,0.464880466,0.806230346,0.492025272,0.644310104,0.462538506,0.325110212,0.250871941,0.526257496,0.987779565,0.579749416,0.808216388,0.887019844,0.380132205,0.005850779,0.760648293,0.38730905,0.106358935,0.791311366,0.885528657,0.321649634,0.598134458,0.620037675,0.316781223,0.636399806,0.58758086,0.543670118,0.501715899,0.411774963,0.379446208,0.358354419,0.500410199,0.449585468,0.746918261,0.435784191,0.521229208,0.453647733,0.358354419,0.300561577,0.305165023,0.554198146,0.266299307,0.454885125,Social proof,0.236488476,0.284577608,0.240788296,0.291925639,0.999992371,0.999983907,0.004541069,3.14E-05,0.999996781,to Prescribe,intent3,0.478884471,76,,,,norm,norm0
"Where was I? The drugs, better, but you have to know when to stop with them. There's a point that they need to be able to wean you better off those drugs, because they just hop you up and create other problems and it's very exhausting and every time you come out of the hospital, you're taken out. Like if you were at a level of here, you come out of the hospital and you're here, you could spend the next however many months working yourself almost up then going to the hospital again, which always knocks you down a little lower again. You're struggling and it's a constant battle. The key is not to ever have to be hospitalized. And that's my goal in life, as unrealistic as it sounds.",us,copd,No,No,No,"better, better, problems, exhausting, struggling, constant, unrealistic",0.553850487,0.350650143,0.798035574,0.528243401,0.341279686,0.032922864,0.928280819,0.699571908,0.400157363,0.432216092,0.701944242,0.827041863,0.774176159,0.112857296,0.417532607,0.712502233,0.515388639,0.340418428,0.970093213,0.849164512,0.958244467,0.29391277,0.513536042,0.036623193,0.316571564,0.832916254,0.864959399,0.099803011,0.044176834,0.425926909,0.191272851,0.767731197,0.004940032,0.567105472,0.631979585,0.332541823,0.618245721,0.575887859,0.485415369,0.485138506,0.398339301,0.375558674,0.361814082,0.498910487,0.443540931,0.747107685,0.369486213,0.504406154,0.410339713,0.361814082,0.241383582,0.31660223,0.589518964,0.250843495,0.450503588,Social proof,0.272017717,0.53224653,0.455289245,0.445596278,0.999894142,2.53E-05,8.67E-06,2.13E-08,1,to Treat,intent1,0.244189935,77,had you been having any,20,43,norm,norm2
