Response ID,Timestamp (mm/dd/yyyy),"Take a few moments to remember the situation that you thought of and re-experience the emotions you felt at that time as strongly as possible.In as much detail as possible, describe the events of the experience as you would explain them out loud to a friend, paying special attention to your thoughts and feelings during the event.","Which emotions were most present for you during this experience? (select all that apply) - Anger (e.g., Rage, Mad, or Irritated)","Which emotions were most present for you during this experience? (select all that apply) - Disgust (e.g., Nausea, Sickened, or Revulsion)","Which emotions were most present for you during this experience? (select all that apply) - Fear (e.g., Terror, Scared, or Panic)","Which emotions were most present for you during this experience? (select all that apply) - Anxiety (e.g., Dread, Nervous, or Worry)","Which emotions were most present for you during this experience? (select all that apply) - Sadness (e.g., Grief, Lonely, or Empty)","Which emotions were most present for you during this experience? (select all that apply) - Desire (e.g., Wanting, Craving, or Longing)","Which emotions were most present for you during this experience? (select all that apply) - Relaxation (e.g., Easygoing, Chilled out, or Calm)","Which emotions were most present for you during this experience? (select all that apply) - Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82746203,8/24/2022 14:17,i think it is very hard to explain to anyone that what it feels like to not feel ok,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82746198,8/24/2022 14:17,It was interesting event that make me feel how important our health is,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82746178,8/24/2022 14:17,Dirty laundry and dishes in sink gets overwhelming and nauseous,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82746174,8/24/2022 14:17,It was a horrible gutted feeling and I felt hopeless and lost like I had no strength for the next day.,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82746156,8/24/2022 14:17,It would feel helpless if there was nothing that could be done,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82746138,8/24/2022 14:17,it is good to go look to you pop lookit red for the you,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82746130,8/24/2022 14:16,I went on a boat trip while in Malta and had really bad seasickness the whole time I was on the boat,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,,,,
82746109,8/24/2022 14:16,I was felt humiliated when I was bullied at work. I was left crying and was very unhappy,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82746103,8/24/2022 14:16,"Man gets in a taxi, Old boy tries on slippers, schoolgirls blow horns",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82746090,8/24/2022 14:16,they made me feel like it was my fault that they got sick because i didn’t care of them,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82746081,8/24/2022 14:16,I felt like I don't wanted to gi there. Because I was not feeling myself.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82746076,8/24/2022 14:16,I had to help to clean up a disabled person who had soiled themselves. It was very embarrassing and distressing.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82746072,8/24/2022 14:16,I thought it was unique and showed how people experience sound,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82746062,8/24/2022 14:16,I had my feet sweeped from under by another person me whilst sitting on a window ledge. I fell on to the concrete on the base of my spine. I felt shock and pain followed by anger as it has lead me to having lifelong back pain and issues.,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82746061,8/24/2022 14:16,"I had to have emergency abdominal surgery and the doctors were not sure if I would make it. I felt strangely calm and at peace with the event, however, it was overtaken by sadness for my family and children.",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82746057,8/24/2022 14:16,I was about 10 and home sick from school as I had a fever. I was coughing when I went to the toilet and I coughed up into a tissue a little red vessel. Still not sure what that was but I was very scared. I felt like if I didn't tell anyone then I would be okay so I didn't tell anyone. It wasn't until a few hours later that I was sick black that my mother rang 112 and they told me to go to hospital. I was coughing up blood. I was so scared and thought I was going to die. It was a horrible horrid feeling,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82746025,8/24/2022 14:16,When I had a 50 the bday party and all my family and friends came,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82746004,8/24/2022 14:16,It felt lost because there was no scene indicator of what was happening,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82746003,8/24/2022 14:16,It was awesomeness and I like the performance even more than I thought I would it was a great thing to watch,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745998,8/24/2022 14:16,My friends really hurt my feelings and made me cry and made me react in impulsive ways,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745997,8/24/2022 14:16,"i watched an advert that began with a surgery scene, it was way too explicit",,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745996,8/24/2022 14:16,I felt hope that it would be ok and I would feel better,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745991,8/24/2022 14:16,I didn’t experience much nothing was in my mind as much,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745990,8/24/2022 14:16,My results came through last week I was really hoping for that A grade and when I got her letter it took me over an hour to even open it. I had a coffee and watch this morning while it sat next to me. When I finally stopped ignoring it I opened it and without taking the letter out I peeked in saw the A and just about Cried on the spot,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745986,8/24/2022 14:16,When I found out that my colon was clear and healthy and looked normal. I was so excited!,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745975,8/24/2022 14:15,Sometimes I feel like I’m going to have a heart attack my heart beats so fast and loud and the more I think about it beating loud and fast the worse it makes me,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745972,8/24/2022 14:15,It’s fine all good Enough end end end Seriously??????????????,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
82745967,8/24/2022 14:15,"Well, it was slightly gross, I didn't like the feeling, but it wasn't that bad",,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745964,8/24/2022 14:15,I felt super relieved when unexpectedly I received a check in the mail with a handwritten card from a neighbor I haven't seen in years. They were very kind and supportive in their words and the check definitely helped me to meet financial obligations,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745961,8/24/2022 14:15,I have had multiple but the best one would be that I had multiple ways to excursive and the ability to do so.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82745953,8/24/2022 14:15,Got degree exam results and got grades to get higher degree than thought. Felt elated,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745948,8/24/2022 14:15,I woke up feeling anxious because I imagined being all alone in the world. Losing my loved ones and wondering how I would cope in that scenario. Not having the means financially or mentally to move on in life,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745941,8/24/2022 14:15,"Being told of a close friend having cancer, unsure of how to help or what to say","Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745937,8/24/2022 14:15,I got pregnant when I was 31 with my daughter everything was going really well no gestational diabetes and she seemed to be growing well she was late so I was taken in to be induced the labour was quite quick and no complications with the birth and baby was fine then they had trouble getting the placenta to come out so I ended up in theatre as I had lost a lot of blood once I was asleep they tried to remove it but I woke up half way through the op to remove it and couldn't breathe I was laying there hoping that they would notice but they seemed oblivious so I struggled to reach out to the person nearest to me I was thinking that I couldn't die I had children and they needed me one had only just been born I managed to just touch the doctor closest to me who was scared because I grabbed him and I was quickly put back to sleep so they could carry on with the op and whe n I came round I was so happy to see my kids and new baby,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745935,8/24/2022 14:15,The time I had a mental breakdown and I was extremely extremely scared and terrified.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82745934,8/24/2022 14:15,I don't understand this question in the survey so I am just going to have to write that to let you know I am feeling confusion,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745926,8/24/2022 14:15,"Frightened and nervous, scared and wouldn’t know what to do",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745924,8/24/2022 14:15,Pus got on my lip from a bedsore and it was horrible,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745923,8/24/2022 14:15,It was mid with a couple of funny parts I like everything,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
82745919,8/24/2022 14:15,The first time I witnessed an orthopedic surgery and realize that that many of the structures of the same color,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82745913,8/24/2022 14:15,"Idk really it is really irrelevant, I wonder who’s Job it is to read these lol HI",,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82745912,8/24/2022 14:15,When my brother went to prison it broke me. I didn't no if I hated him or still cared for him. He was my best friend and he is now forever going to be gone from me,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745907,8/24/2022 14:15,"Before getting diagnosed with endometriosis I was at a&e with crippling stomach pains, the hospital refused any tests and sent me home saying that I was lying, 9 years later I was diagnosed with stage 3 endometriosis","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745906,8/24/2022 14:15,"Anxiety, fear, abandonment. Lonely and alone. Complete utter hopelessness",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745905,8/24/2022 14:15,Finding out that I had to have surgery when I had a pain in my side.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745901,8/24/2022 14:15,Best regards and thanks for the plug-in settings please visit the plug-in settings please log in,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745887,8/24/2022 14:15,My friends were talking to me about something very important and it made me sad but they said they will support me all the way.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745883,8/24/2022 14:15,Looking after my own well being as well as everyone else around me,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745882,8/24/2022 14:15,The day I found out my uncle passed due to complications from COPED. Totally didn't see it coming. In a daze the rest of the day.,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745873,8/24/2022 14:15,I'm sorry I really don't have one. Okay what do you want from me the blah blah blah blah blah because I don't have enough to 50 words in here,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745869,8/24/2022 14:15,Smelt something that made me feel sick even by just touching it I could taste it in my mouth it was an unpleasant experience,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82745868,8/24/2022 14:15,Being lied to and me knowing the truth. Hurt my feelings and made me not trust them anymore,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82745865,8/24/2022 14:15,"I would describe this as exciting and hopeful, the process was quite the same as the last time and quite speedy as well. All in all i am quite excited for the next visit.",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745860,8/24/2022 14:15,Ir clulf be nice snd interreting hood wsy fkr it ti be better,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745858,8/24/2022 14:15,A nurse was putting in an IV she messed up and my clothes were covered in my own blood I was so passed off I wanted to strangle her.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
82745847,8/24/2022 14:15,"Nothing comes to mind, I have a brain injury, this affects my memory",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745828,8/24/2022 14:14,I don’t know if it’s a Bad I can have a look at the mirror and see if you can have it,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
82745815,8/24/2022 14:14,"I was really ill dealing with migraine attacks and severe tonsillitis, my mum picked up my toddler son to let me rest for a few hours. I felt relieved and so happy I could get some rest",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745813,8/24/2022 14:14,i didn't really have any emotions. just a little confusion as to what was happening,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745805,8/24/2022 14:14,My sister in law passed away recently and even though her death was predicted it was still very sad.,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745802,8/24/2022 14:14,When I was diagnosed with BPD and I refused treatment,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745801,8/24/2022 14:14,I felt like I couldn’t breathe and like my throat was closing up. I felt like I was in immediate danger.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745799,8/24/2022 14:14,The personal data and meds for my friend to have and it's great,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745798,8/24/2022 14:14,"When I had a lump in my breast, I was so scared. It took 3 days to get the results back and I was so happy when it was nothing, just an infection that antibiotics would clear up.",,,"Fear (e.g., Terror, Scared, or Panic)",,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745796,8/24/2022 14:14,I was so happy that something good has happened to me for once.,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745793,8/24/2022 14:14,"Someone took over for me, felt overwhelming relief",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745790,8/24/2022 14:14,I felt annoyed and mad by how loud and inconsiderate everyone seemed to be,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82745788,8/24/2022 14:14,"I used to work in a psychiatric hospital, I was attacked from the back I wax scared and terrified until help arrived","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745786,8/24/2022 14:14,I remember feeling sick one time and it felt bad. So I went to the doctor and they gave me medicine and I felt better.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745784,8/24/2022 14:14,My best friend suddenly cut me out of his life with no explanation.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745773,8/24/2022 14:14,No feelings at all during it. Slightly bored I guess,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745772,8/24/2022 14:14,"My husband cut his finger open with a knife very deeply, and I had to superglue his finger back together before bandaging it. It made me feel a bit sick to look at it but I had to do it.",,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745767,8/24/2022 14:14,"Angry, sad, lost, confused, wanting that person back but they were dead","Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745763,8/24/2022 14:14,aggrevatied and stressed. i see that the man wants nothing but to be alone,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745761,8/24/2022 14:14,I have to have regular blood tests and often the nurse struggles to get blood but on this occasion it was done first time it made both of our days as my nurse takes it as a personal challenge,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745758,8/24/2022 14:14,Oh man. This guy I liked very very much grabbed me and kissed me out of nowhere. In the middle of my sentence. It was something. Dreams are made of. I just wish he'd do it again,,,"Fear (e.g., Terror, Scared, or Panic)",,,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745755,8/24/2022 14:14,My first visit with a new gi doctor and he told me that he would care for me and not allow me to be treated badly by medical personnel while he was my doctor.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745744,8/24/2022 14:14,I felt like the air was blown away from me and my grief was all over my face. I remember screaming and crying loudly uncontrollable,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745732,8/24/2022 14:14,"Drunk man being sick in the street, held out his hand and chased me. Scared and horrified",,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745728,8/24/2022 14:14,The movie was amazing. It was great. The movie has no issues at all.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745725,8/24/2022 14:14,Playing with friends when I was young. A friend threw a stone which hit me in the head causing my head to bleed. Everyone was laughing and I had to walk home on my own and my parents took me to hospital. I was very sad hurt and let down by my friends reactions,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745709,8/24/2022 14:13,When my grandma passed away I felt angry and alone. I was sad she was gone and upset I couldn’t say bye.,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745708,8/24/2022 14:13,I was very happy wn I got my ged . It was a huge accomplishment for me .,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745707,8/24/2022 14:13,When I thought my car got stolen but some one fixed it for me,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
82745706,8/24/2022 14:13,I felt motivated and joyful that moment. Simple I am overjoyed,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745699,8/24/2022 14:13,I didn't really rhino of an experience as I have never really been ill,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745698,8/24/2022 14:13,It is really interesting that is a hail my interester while I was intrigued I would like to see more of this very awesome.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745697,8/24/2022 14:13,It was scary as it was all unknown at the time. It was also a new thing for me and my family,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745690,8/24/2022 14:13,I had been having treatment for precancerous cells on my cervix for some months. I was told the treatment had been successful and I didn’t need any further treatment. I was overjoyed at this news.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745686,8/24/2022 14:13,I would tell them were they are wrong the best i can,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745685,8/24/2022 14:13,Once again I did not feel any specific emotion very strongly. It was not a negative or positive feeling.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745684,8/24/2022 14:13,When I was a teenager someone bully me to the extent that I got hurt physically,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745680,8/24/2022 14:13,None this whole thing was confusing to me I wish I could watch it again to understand it,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82745678,8/24/2022 14:13,I thought it was great and very nice to hear also very beautiful,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745676,8/24/2022 14:13,I was beyond excited I could barely contain my emotions. I called up friends to tell them the great news.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745671,8/24/2022 14:13,It showed a depressed person to happy. It seems straightforward.,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745669,8/24/2022 14:13,Sheer terror the time I was on an air plane and it had to make an emergency landing because the engine was on fire. I have never been so scared,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745662,8/24/2022 14:13,"I felt extreme happiness when my estranged boyfriend came to my workplace after years of separation...I couldn't believe my eyes when I saw him and I said to myself ...I will get married and have kids. That was a long time ago and we separated again and i ended up marrying someone else , but i can't forget the intensity of my feelings then.",,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745658,8/24/2022 14:13,"I felt a little sad seeing the man alone, but happy to see the children having fun",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745652,8/24/2022 14:13,Myself when I had a fall and broke my arm in two places.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745648,8/24/2022 14:13,Three of the day I have to go to the store and get a job I can get it through the day.,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745647,8/24/2022 14:13,"The birth of my youngest son was one of the most intense, and satisfying moments of my entire life.",,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745646,8/24/2022 14:13,I had no money and I prayed to God for a financial blessing and I got a check for $400 that I wasn't expecting and it gave me great relief.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
82745644,8/24/2022 14:13,"Finding out my dad had died suddenly, it was like being hit by a train when I heard the news.","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745639,8/24/2022 14:13,I went into the woods and screamed at the top of my lungs as my sister had just been killed,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745638,8/24/2022 14:13,Scared and worried about what was going to happen to me at that time,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745633,8/24/2022 14:13,the man was standing by the car talking to the person in the car,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745632,8/24/2022 14:13,Good thoughts better option for y’all to be better than,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745630,8/24/2022 14:13,"Cuando me caí y me rompí la muñeca me sentí mal, me dolió mucho y tenía que ir al hospital",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745628,8/24/2022 14:13,Never been in such a situation so cannot described such an rvent,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745625,8/24/2022 14:13,I felt like too many loud noises distracted me to what was going on.,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82745621,8/24/2022 14:13,I wasn't paying attention at all so I couldn't tell,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745619,8/24/2022 14:13,I was confused i didnt understand what i watched at all,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
82745615,8/24/2022 14:13,The worst moment of my life was when I worked breakfast at a hotel and I got a phone call that my grandmother who I was very close to passed away. I remember I collapsed on the floor and just burst into tears and I ran right home while I drove. And then once I got home I changed and went directly to my grandmothers were everyone was there and I was just so heartbroken I’ve never experienced anything like that and it’s something that I deal with every day,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745609,8/24/2022 14:13,Having a panic attack and feeling like my heart will stop beating. My pulse raises and feels like my heart is in my throat. Feels like I can't breathe properly,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745608,8/24/2022 14:13,Negative view of students practicing brass instruments,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745605,8/24/2022 14:13,When I had a serious panic attack from being out into a situation that I should not have been put into and caused me to have a serious mental breakdown and caused many issues for me and my kids and my boyfriend .,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745604,8/24/2022 14:13,I felt extremely afraid and stressed . I thought I was going to pass out.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
82745603,8/24/2022 14:13,each and every person have different feelings and emotions.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
82745600,8/24/2022 14:13,I just went with the flow as I was unsure if it was inbetweenees and better call saul,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
82745595,8/24/2022 14:13,It was very emotional and you know how hard it is for me to talk about,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
82745591,8/24/2022 14:13,It made me feel a bit strange and confused. It was difficult to follow what was really going on as it wasn’t clear,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
